round,split,overall_relative_fourvector_rmse,E_rmse_gev,px_rmse_gev,py_rmse_gev,pz_rmse_gev
210,train_focus,0.21921977861930134,20.405798059819467,6.579718406191474,6.463884285734878,19.080982493796846
210,validation_focus,0.21687925551923953,20.722733178055044,5.2754035590475254,5.309393068491931,19.42895126549728
245,train_focus,0.21613080398527673,20.19645608745006,6.530292708464145,6.417634720158094,18.886849923007425
245,validation_focus,0.2161438627449918,20.666258419844883,5.258029449174223,5.291909905418272,19.376387789544175
280,train_focus,0.21337466170062805,20.00190493566085,6.488021198661062,6.372707463008196,18.70631573430646
280,validation_focus,0.21554696990725816,20.617598122646843,5.244852058985841,5.277963631680637,19.331000174671026
315,train_focus,0.21095409609971744,19.82636937445647,6.450085043985288,6.330790531339779,18.54446473250221
315,validation_focus,0.21529349965852462,20.585820511636893,5.235830339414507,5.268258053300191,19.301726819784996
350,train_focus,0.20860883421723037,19.665175826715192,6.414279300624988,6.294194145902493,18.39457138430151
350,validation_focus,0.215002360221761,20.55847394871797,5.230030836695795,5.258518345228251,19.275994834337343
385,train_focus,0.20644337750454592,19.5196573620088,6.382219880002827,6.260860912642209,18.260140600020602
385,validation_focus,0.21475207276056923,20.539228366952475,5.224552659554646,5.254021879120957,19.257682054806324
420,train_focus,0.2045345982718398,19.377588961113663,6.352259456482802,6.227986242001507,18.129309608762053
420,validation_focus,0.21459995787081623,20.52406695251791,5.219864260736709,5.248690244614334,19.24410870184006
455,train_focus,0.20271163758911293,19.242184449629416,6.32198663179009,6.199234844207509,18.004132843661623
455,validation_focus,0.21448889082581943,20.5077920089224,5.214953093135331,5.245308465437944,19.22868730883192
490,train_focus,0.20093305025975158,19.10682284328865,6.292254113845431,6.16978924347527,17.878708805380743
490,validation_focus,0.21462224972006258,20.497574286290632,5.210760573163986,5.242476347010199,19.219253553731527
525,train_focus,0.19931304578728234,18.984259511004495,6.2674447773051165,6.140593995646636,17.765443335047163
525,validation_focus,0.21460073613729422,20.4919331929173,5.208690338291251,5.240120025685139,19.213897373543315
560,train_focus,0.19777577925631984,18.863822488226987,6.2422379015098155,6.113707610020147,17.654114610479972
560,validation_focus,0.21460357069638322,20.476932155965518,5.204765087438423,5.235900317043546,19.19988392587051
595,train_focus,0.1962179311029551,18.746063323251622,6.217687008462519,6.087737214483098,17.545369631818453
595,validation_focus,0.21448886135283793,20.465840844791465,5.201451779174789,5.231907595271943,19.18973331801905
630,train_focus,0.19477433017353235,18.633798749582738,6.194871367892809,6.0625446100631315,17.44124630789448
630,validation_focus,0.21446894394976512,20.452932997491615,5.198999528083877,5.228254951242088,19.177434845253337
665,train_focus,0.19334541003512376,18.52380716145591,6.170558540523376,6.038983593831506,17.339255889686225
665,validation_focus,0.21439022559468465,20.439410829290686,5.193773750875734,5.22382243348135,19.165242976835827
