round,target,split,rmse,weighted_rmse,effective_target_round
770,ux,train_focus,0.02890358627265728,0.028905753433334843,770
770,ux,validation_focus,0.010146124685341066,,770
770,uy,train_focus,0.02649842832467254,0.026501382291289028,770
770,uy,validation_focus,0.009735470431124025,,770
770,uz,train_focus,0.0030253352901556,0.0030263355548394606,770
770,uz,validation_focus,0.0027966820880046587,,770
805,log1p_kinetic,train_focus,0.12905026991052335,0.1291007749841566,805
805,log1p_kinetic,validation_focus,0.15014291923944992,,805
805,ux,train_focus,0.028895531026045116,0.028897687817816712,805
805,ux,validation_focus,0.010140840041148218,,805
805,uy,train_focus,0.026489069879493603,0.02649201639740569,805
805,uy,validation_focus,0.009728727846504227,,805
805,uz,train_focus,0.0030044285309759637,0.0030054156977885288,805
805,uz,validation_focus,0.0027797316715310197,,805
840,log1p_kinetic,train_focus,0.12823967204728912,0.12828939697758515,840
840,log1p_kinetic,validation_focus,0.1501466884640117,,840
840,ux,train_focus,0.028886593334165,0.028888738669046923,840
840,ux,validation_focus,0.01013604861052977,,840
840,uy,train_focus,0.026479266229082896,0.026482203543379507,840
840,uy,validation_focus,0.00971639976927695,,840
840,uz,train_focus,0.002984958217702824,0.0029859315850295806,840
840,uz,validation_focus,0.0027638846246211637,,840
875,log1p_kinetic,train_focus,0.12751427874367,0.12756329655024595,875
875,log1p_kinetic,validation_focus,0.15014525944262713,,875
875,ux,train_focus,0.028878805992344495,0.028880941253045335,875
875,ux,validation_focus,0.010126375939858955,,875
875,uy,train_focus,0.026471469291556138,0.026474400193777902,875
875,uy,validation_focus,0.00970734906722575,,875
875,uz,train_focus,0.0029673497474594626,0.002968310402030076,875
875,uz,validation_focus,0.0027492508498986297,,875
910,log1p_kinetic,train_focus,0.1267701748670849,0.12681850281247933,910
910,log1p_kinetic,validation_focus,0.15010537561473844,,910
910,ux,train_focus,0.028870707637549953,0.028872831315667882,910
910,ux,validation_focus,0.010117720347151056,,910
910,uy,train_focus,0.026462548220161322,0.02646546934959456,910
910,uy,validation_focus,0.009694007507024937,,910
910,uz,train_focus,0.002950248909149044,0.0029511965619264924,910
910,uz,validation_focus,0.0027363887333470196,,910
917,log1p_kinetic,train_focus,0.12662136706643035,0.12666969112643942,917
917,log1p_kinetic,validation_focus,0.15009892613329465,,917
917,ux,train_focus,0.028869323011277405,0.028871445318808333,917
917,ux,validation_focus,0.010114106094604138,,917
917,uy,train_focus,0.02646092629135104,0.026463845223714696,917
917,uy,validation_focus,0.009691133496772041,,917
917,uz,train_focus,0.0029472810867368963,0.0029482274441517083,917
917,uz,validation_focus,0.002734136073708405,,917
945,log1p_kinetic,train_focus,0.1260504910658953,0.1260982881750073,945
945,log1p_kinetic,validation_focus,0.15012805010910338,,945
945,ux,train_focus,0.028864614043864537,0.02886673030971235,945
945,ux,validation_focus,0.010113810476538644,,945
945,uy,train_focus,0.026455930315857006,0.026458843151224185,945
