binning,component,bin_low_gev,bin_high_gev,bin_center_gev,n,r2,mae_gev,rmse_gev,bias_gev,residual_sigma_gev,norm_bias_mean,norm_resolution_sigma
all_25gev,px,225.0,250.0,237.5,6333,0.9679534230667037,3.368467908596487,7.463994926336643,0.24374882202436926,7.460602907931573,0.0010224073872810715,0.031301452917923425
all_25gev,py,225.0,250.0,237.5,6333,0.9650468981018281,3.433480626562584,7.697830282064943,0.9700241081006008,7.637071032363492,0.00406077857737313,0.032018724846306745
all_25gev,pz,225.0,250.0,237.5,6333,-7.492993268788014,15.216624173955966,28.1626896709983,-13.374025093303207,24.78647924037214,-0.05597452428438476,0.10403366206981698
all_25gev,E,250.0,275.0,262.5,6352,-28.528298793292848,27.980183377411,39.12550109742381,-27.980129262113575,27.350227901995513,-0.10617682711569662,0.10398593823037854
all_25gev,px,250.0,275.0,262.5,6352,0.9588984809507658,4.865550398169413,9.281756639165433,0.13060532645041573,9.28156833853806,0.0005087927688369277,0.035279675489072876
all_25gev,py,250.0,275.0,262.5,6352,0.9544503527434586,4.975084697164902,9.730063580372002,1.2934740177302906,9.644465033066595,0.004937363726191682,0.036698496294361706
all_25gev,pz,250.0,275.0,262.5,6352,-12.10720235181474,26.69754388015681,36.79778354058948,-26.69754388015681,25.326251268780705,-0.10130073833657038,0.09626717924090115
all_25gev,E,275.0,300.0,287.5,6340,-59.265352770179426,49.03647083304944,56.246814779668064,-49.03647083304944,27.554463456485735,-0.1701771202113922,0.09522244892598584
all_25gev,px,275.0,300.0,287.5,6340,0.9395976817314245,7.564783073506444,12.340772497000223,-0.07601197164145593,12.341511743766054,-0.00026248919867413457,0.04280782752128754
all_25gev,py,275.0,300.0,287.5,6340,0.9374237863134478,7.597133622233692,12.461186753371813,1.5615381843856784,12.363934863028772,0.0054457746084992644,0.04298231037933347
all_25gev,pz,275.0,300.0,287.5,6340,-23.575387440526526,47.12986371977567,53.48293667561117,-47.12986371977567,25.284408187054424,-0.1635542578663175,0.0872934265578683
focus_20gev,E,50.0,70.0,60.0,4986,-8.20623965771568,10.339826874364443,17.45572895450996,9.982425482941098,14.321130854238008,0.17087043251188694,0.24779251650947906
focus_20gev,px,50.0,70.0,60.0,4986,0.8238888683750989,2.086624950150366,4.416873915076428,0.0018004737285395062,4.417316542296866,2.1389826517500065e-05,0.07582441260395756
focus_20gev,py,50.0,70.0,60.0,4986,0.815771247898771,2.137365303952838,4.51824461648861,-0.8288307071476751,4.442018849610273,-0.01421749457366803,0.0766275371459225
focus_20gev,pz,50.0,70.0,60.0,4986,-6.839943243280548,9.792675549253179,16.313625282227946,9.445445583605187,13.302383907848336,0.16170577837520408,0.23023704552999266
focus_20gev,E,70.0,90.0,80.0,5051,-5.222878538189423,8.829680089731811,14.602868968242955,7.069152001971688,12.779014161603019,0.08934629010778905,0.16167201775684706
focus_20gev,px,70.0,90.0,80.0,5051,0.9247934712059809,1.8266263488068333,3.8038199224931737,-0.03516063258572651,3.8040339963636622,-0.0004915659497344829,0.04803318324051924
focus_20gev,py,70.0,90.0,80.0,5051,0.9337614031194674,1.828275656428914,3.6284402021968565,-0.5095538457149132,3.592838544878969,-0.006267596535777581,0.04537680112322402
focus_20gev,pz,70.0,90.0,80.0,5051,-4.019089132054594,8.38103860064679,13.686151306288911,6.692561430144252,11.93937104439186,0.08458471255807343,0.15107420546288605
focus_20gev,E,90.0,110.0,100.0,5081,-4.785086478691394,8.993423898028952,13.917949033897202,5.658150873255625,12.717171999230018,0.05710299405790169,0.12776459600712675
focus_20gev,px,90.0,110.0,100.0,5081,0.9600164098145076,1.799868084537542,3.469154737499451,0.017451012999890762,3.469452276110675,0.0001511574086630633,0.034915392587938514
focus_20gev,py,90.0,110.0,100.0,5081,0.9599190402345978,1.8304653642660358,3.485613881578098,-0.2715463030171212,3.4753624064554822,-0.0027955277272745734,0.03507656266191867
focus_20gev,pz,90.0,110.0,100.0,5081,-3.3469226513353636,8.561061560682695,13.079635773748352,5.383988364801389,11.921304947183385,0.054333632026993414,0.11972005069333011
focus_20gev,E,110.0,130.0,120.0,5091,-5.620203755970912,9.794308063937857,14.82002786730888,3.8278808650362572,14.318548295815422,0.03205146013576847,0.1189859252518369
focus_20gev,px,110.0,130.0,120.0,5091,0.9709610333013454,1.9995840099770092,3.612895611254771,0.030313102248270298,3.613123313159254,0.00025828835985992286,0.02995399192087047
focus_20gev,py,110.0,130.0,120.0,5091,0.9696950138719406,1.9882017464873472,3.634034330518854,-0.17002917062524375,3.630411058843308,-0.0014571226815238492,0.03025295299419609
focus_20gev,pz,110.0,130.0,120.0,5091,-3.6217291607792044,9.321016695863895,13.971463822026873,3.661158567589372,13.484562874540304,0.030655656206359728,0.11206562080121532
focus_20gev,E,130.0,150.0,140.0,5089,-6.478920119367911,10.334984235083276,15.856622681003827,2.593383394559299,15.644645739530583,0.018587512809628146,0.11181554139394288
focus_20gev,px,130.0,150.0,140.0,5089,0.9745918109716019,2.1161444209613602,3.8769576679219844,0.04824879943653115,3.8770383698760496,0.00034405723934841955,0.027673757685159266
